Username,Message Count,Percentage
zhaibass,307,9.126040428061831
domminnique,136,4.0428061831153395
friebay,130,3.864447086801427
tarkotuvas,113,3.3590963139120094
majusk82,103,3.0618311533888227
tomaskobra,94,2.794292508917955
nafoapelsinas,93,2.764565992865636
bumsiakas,87,2.586206896551724
bigggggusdickus,82,2.4375743162901307
dromey94,79,2.348394768133175
heatedpillow,79,2.348394768133175
ryn055,65,1.9322235434007136
kraujospudis,62,1.8430439952437574
ltx_domas,56,1.6646848989298455
notloru,50,1.4863258026159334
adas_boksininkas_ltu,50,1.4863258026159334
iiieva,49,1.4565992865636148
ltujusto,47,1.3971462544589774
carrerafreak,46,1.3674197384066586
zulikas4000,46,1.3674197384066586
